Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Ward,Parish,Introduced,Terminated,Altitude,Country,Last Updated,Quality
EH1 1AA,No,55.95365,-3.188106,325910,674039,NT259740,"City Centre","",1980-01-01,1996-12-01,71,Scotland,2019-02-23,"Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference"
EH1 1AD,Yes,55.948894,-3.19259,325621,673515,NT256735,"City Centre","",2009-06-01,,95,Scotland,2019-02-23,"Within the building of the matched address closest to the postcode mean"
EH1 1AE,Yes,55.949033,-3.189375,325822,673527,NT258735,"City Centre","",2018-09-01,,87,Scotland,2019-02-23,"Within the building of the matched address closest to the postcode mean"
EH1 1AF,No,55.960382,-3.176699,326635,674776,NT266747,"Leith Walk","",2004-11-01,2009-04-01,29,Scotland,2019-02-23,"Within the building of the matched address closest to the postcode mean"
EH1 1AL,No,55.953214,-3.186811,325990,673989,NT259739,"City Centre","",1986-12-01,1996-12-01,65,Scotland,2019-02-23,"Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference"
EH1 1AN,No,55.953022,-3.188087,325910,673969,NT259739,"City Centre","",1995-12-01,1996-12-01,68,Scotland,2019-02-23,"Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference"
EH1 1AQ,No,55.952206,-3.188863,325860,673880,NT258738,"City Centre","",1974-01-01,1976-08-01,65,Scotland,2019-02-23,"Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference"
EH1 1BA,No,55.952032,-3.188217,325900,673859,NT259738,"City Centre","",1990-12-01,1996-06-01,64,Scotland,2019-02-23,"Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference"
EH1 1BB,Yes,55.952014,-3.189547,325817,673859,NT258738,"City Centre","",1980-01-01,,63,Scotland,2019-02-23,"Within the building of the matched address closest to the postcode mean"
EH1 1BD,No,55.952326,-3.187505,325945,673891,NT259738,"City Centre","",1980-01-01,2017-09-01,62,Scotland,2019-02-23,"Within the building of the matched address closest to the postcode mean"
EH1 1BE,Yes,55.951961,-3.189944,325792,673853,NT257738,"City Centre","",1980-01-01,,62,Scotland,2019-02-23,"Within the building of the matched address closest to the postcode mean"
EH1 1BG,No,55.951961,-3.189944,325792,673853,NT257738,"City Centre","",1980-01-01,2007-10-01,62,Scotland,2019-02-23,"Within the building of the matched address closest to the postcode mean"
EH1 1BJ,No,55.950811,-3.19095,325727,673726,NT257737,"City Centre","",1980-01-01,2015-12-01,74,Scotland,2019-02-23,"Within the building of the matched address closest to the postcode mean"
